Ano,Autoridade,População
1776,Abade Corrêa da Serra,1900000
1808,D. Rodrigo de Souza Coutinho,4000000
1810,Alexandre von Humboldt,4000000
1815,Conselheiro Velloso de Oliveira,2860525
1817,Henry Hill,3300000
1819,Conselheiro Velloso de Oliveira,4396132
1825,Casado Giraldes,5000000
1827,Rugendas,3758000
1829,Adrianno Balbi,2617900
1830,Malte-Brun,5340000
1834,Senador José Saturnino,3800000
1850,Senador Candido Baptista,8000000
1856,Barão do Bom Retiro,7677800
1867,O Império do Brasil na Exposição etc.,11780000
1868,Candido Mendes,11030000
1869,Senador T. Pompeu de Souza Brazil,10415000
