Períodos,No período
1531-1575,10000
1576-1600,40000
1601-1625,100000
1626-1650,100000
1651-1670,185000
1676-1700,175000
1701-1710,153700
1711-1720,139000
1721-1730,146300
1731-1740,166100
1741-1750,185100
1751-1760,169400
1761-1770,164600
1771-1780,161300
1781-1785,63100
1786-1790,97800
1791-1795,125000
1796-1800,108700
1801-1805,117900
1806-1810,123500
1811-1815,139400
1816-1820,188300
1821-1825,181200
1826-1830,250200
1831-1835,93700
1836-1840,240600
1841-1845,120900
1846-1850,157500
1851-1855,6100
