Localização,Grupos indígenas selecionados,Pop. Ind. Atual (mín),Pop. Ind. Atual (máx),Século XVI
Acre (Rio Purús),>=16,3000,5000,30000
Amazonas (Rio Branco),9,11000,16000,33000
Tocantins,19,5000,56000,101000
Nordeste - litoral,7,1000,1000,208000
Nordeste - interior,>=13,-,-,85000
Maranhão,14,2000,6000,109000
Bahia,8,-,-,149000
Minas Gerais,11,0,200,91000
Espírito Santo (Ilhéus),9,-,-,160000
Rio de Janeiro,7,-,-,97000
São Paulo,8,-,-,146000
Paraná e Santa Catarina,9,3200,4200,152000
Rio Grande do Sul ,5,-,-,95000
Mato Grosso do Sul,7,6200,8200,118000
Mato Grosso - central,>=13,1900,2900,71000
Outros,,,,786000
Total,,33300,99500,2431000
