Ano,Imigrantes
1820,1682
1821,0
1822,0
1823,0
1824,126
1825,909
1826,828
1827,1088
1828,2060
1829,2412
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,1180
1837,604
1838,396
1839,389
1840,269
1841,555
1842,568
1843,694
1844,0
1845,53
1846,435
1847,2350
1848,28
1849,40
1850,2072
1851,4425
1852,2731
1853,10935
1854,9189
1855,11798
1856,14008
1857,14244
1858,18529
1859,20114
1860,15774
1861,13003
1862,14295
1863,7642
1864,9578
1865,6422
1866,7699
1867,10842
1868,11315
1869,11528
1870,5158
1871,12431
1872,19219
1873,14742
1874,20332
1875,14590
1876,30747
1877,29468
1878,24456
1879,22788
1880,30355
1881,11548
1882,29589
1883,34015
1884,23574
1885,34724
1886,32650
1887,54932
1888,132070
1889,65165
1890,106819
1891,215239
1892,85906
1893,132589
1894,60182
1895,164831
1896,157423
1897,144866
1898,76862
1899,53610
1900,37807
1901,83116
1902,50472
1903,32941
1904,44706
1905,68488
1906,72332
1907,57919
1908,90536
1909,84090
1910,86751
1911,133575
1912,177887
1913,190343
1914,79232
1915,30333
1916,31245
1917,30277
1918,19793
1919,36027
1920,69041
1921,58476
1922,65007
1923,84549
1924,96052
1925,82547
1926,118686
1927,97974
1928,78128
1929,96186
1930,62610
1931,27465
1932,31494
1933,46081
1934,46027
1935,29585
1936,12773
1937,34677
1938,19388
1939,22668
1940,18449
1941,9938
1942,2627
1943,1345
1944,1612
1945,3230
1946,13039
1947,18753
1948,21568
1949,23844
1950,35492
1951,62594
1952,88150
1953,80242
1954,72248
1955,55166
1956,44806
1957,53613
1958,49839
1959,44520
1960,40507
1961,43589
1962,31138
1963,23859
1964,0
1965,9838
1966,8175
1967,11352
1968,12521
1969,6613
1970,0
1971,6378
1972,8767
1973,5931
1974,6766
1975,11566
